num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
65,-0.5565,-0.5598,0.0397,0.0406,-0.0371,-0.0332,-0.0348,-0.0345,-0.0391,-0.0352,-0.0006,0,-0.0008,0.0001,0.0002,0.0002,0.0569,0.0522,0.0557,0.0542,0.0541,0.0523,-0.0009,-0.0014,0.0002,-0.0003,-0.0015,-0.0003,0
66,-0.6224,-0.6257,0.039,0.0392,-0.0418,-0.041,-0.0412,-0.0414,-0.0427,-0.0383,-0.001,0.0009,0.0006,0.0002,-0.0012,-0.0004,0.0575,0.0536,0.0602,0.0573,0.0566,0.0564,-0.0009,-0.0014,0.0002,-0.0008,-0.0002,-0.0003,0
67,-0.6809,-0.6854,0.0426,0.0392,-0.0469,-0.047,-0.0448,-0.0457,-0.0483,-0.0447,-0.0003,0.0005,-0.0007,-0.0004,-0.0008,0.0002,0.0637,0.0579,0.0607,0.0631,0.0652,0.0628,-0.0008,-0.0005,0.0014,0.0007,0,-0.0003,0
68,-0.7351,-0.7396,0.0404,0.0399,-0.0484,-0.0512,-0.0524,-0.0528,-0.0539,-0.049,-0.0015,-0.0003,0.0007,-0.0004,-0.0003,0.0001,0.065,0.0567,0.0656,0.0636,0.0631,0.0627,0.0004,0.0006,0.0005,-0.0004,-0.0008,0.0001,0
69,-0.7867,-0.7892,0.0447,0.0392,-0.0534,-0.0548,-0.0571,-0.0583,-0.0599,-0.0551,-0.0018,-0.0001,-0.0012,0,-0.0009,0.0004,0.0682,0.0665,0.0673,0.0652,0.0674,0.0658,0.0009,0.0001,0.0001,0.0005,0.0001,-0.0006,0
70,-0.8351,-0.8367,0.0413,0.04,-0.0632,-0.0606,-0.0601,-0.0672,-0.0665,-0.0625,-0.0003,-0.0002,-0.002,0.0012,-0.0007,0.0005,0.0696,0.0652,0.069,0.0687,0.07,0.0667,0.0006,-0.0004,0.0005,-0.0004,0.0003,0,0
71,-0.8799,-0.8826,0.0382,0.0399,-0.0665,-0.0656,-0.0643,-0.0675,-0.0692,-0.0674,-0.001,0.0008,-0.0012,-0.0012,-0.0013,0.0005,0.072,0.0699,0.0727,0.072,0.0692,0.0683,0.0002,-0.0016,0.0002,0,-0.0004,-0.0003,0
72,-0.9219,-0.9261,0.0404,0.0399,-0.0712,-0.0736,-0.0698,-0.0687,-0.0755,-0.0716,-0.0002,-0.0001,0,0.0005,-0.0002,0.0016,0.0751,0.072,0.0695,0.0732,0.0702,0.0752,0.0009,0.0002,0.0014,0.0011,0.0006,0,0
73,-0.9627,-0.9661,0.0411,0.0399,-0.0754,-0.0779,-0.0777,-0.0744,-0.0784,-0.0743,-0.0006,-0.0006,-0.0009,0.001,-0.0002,-0.0002,0.0728,0.0773,0.0767,0.0786,0.0755,0.0723,0.0019,-0.0004,0.0006,-0.0006,-0.0006,0.0006,0
74,-1.0033,-1.0047,0.0419,0.04,-0.0829,-0.0794,-0.0809,-0.0836,-0.0825,-0.0801,0.0006,0.0003,-0.0005,-0.0004,-0.0006,0.0008,0.0764,0.0768,0.0774,0.0787,0.077,0.0795,0.0008,-0.0007,0,0.0001,-0.0007,-0.0005,0
75,-1.0417,-1.0425,0.0419,0.0385,-0.0846,-0.0813,-0.0813,-0.0876,-0.0899,-0.0833,0.0003,0,-0.0009,-0.0008,0.0004,0.0002,0.0801,0.0721,0.0792,0.0814,0.0798,0.0772,-0.0008,-0.0003,0.0008,-0.0008,-0.0015,-0.0002,0
76,-1.0778,-1.0802,0.0379,0.0436,-0.0881,-0.0904,-0.0889,-0.0899,-0.0928,-0.0907,0.0001,0.0007,0.0009,-0.0002,-0.0005,0.001,0.0805,0.0815,0.0834,0.083,0.0804,0.079,0.0009,-0.0012,0,0.0002,-0.0001,-0.001,0
77,-1.1119,-1.1158,0.0411,0.04,-0.099,-0.0968,-0.0931,-0.0936,-0.0987,-0.0961,0.0001,-0.0002,-0.0002,-0.0003,-0.0001,0.0003,0.0853,0.0856,0.0828,0.0847,0.0836,0.0847,0.0012,-0.001,0.0008,0.0001,0.0003,-0.001,0
78,-1.1463,-1.1491,0.0382,0.0392,-0.0968,-0.1004,-0.0992,-0.099,-0.0992,-0.0979,0.0006,-0.0004,0.0002,0,-0.0006,0.0005,0.0842,0.0883,0.0861,0.088,0.0847,0.0841,0.0018,-0.001,0.0004,-0.0002,0,-0.0004,0
79,-1.1805,-1.1813,0.0413,0.0411,-0.1,-0.102,-0.1052,-0.1027,-0.1057,-0.1071,0.0014,-0.0007,-0.001,-0.0003,-0.0002,-0.0002,0.0905,0.0886,0.0856,0.0863,0.0856,0.0854,0.0011,-0.0002,0.0009,0.0008,-0.0008,-0.0008,0
80,-1.2133,-1.2141,0.0418,0.0401,-0.108,-0.1077,-0.1071,-0.1087,-0.1119,-0.1081,0.0008,-0.0002,-0.0007,-0.0001,0.0006,0.0006,0.0888,0.0874,0.0878,0.0926,0.0886,0.0907,0.0006,-0.0006,0.001,-0.0001,-0.0013,-0.0005,0
81,-1.2429,-1.2456,0.0389,0.0399,-0.1136,-0.1146,-0.1107,-0.1125,-0.1162,-0.1144,-0.0004,-0.0003,0.0006,0.0002,-0.0008,0.0006,0.0926,0.0912,0.0912,0.0893,0.0898,0.09,0.0012,-0.0012,-0.0003,0.0001,0.0006,0,0
82,-1.274,-1.2775,0.0426,0.0392,-0.114,-0.1249,-0.1166,-0.1164,-0.1203,-0.1197,0,-0.0002,-0.0008,-0.0007,-0.001,0.0003,0.0944,0.0875,0.0931,0.0948,0.0898,0.0915,0.0012,0,0.0005,0.0006,-0.0009,0.0001,0
